car_name,car_versions,car_price_in_rupees,fuel_type,city,year_of_manufacture,car_age
Hyundai, Grand i10 Magna 1.2 Kappa VTVT [2017-2020],4.45 Lakh,Petrol,Mumbai,2016,7
Maruti Suzuki, Alto 800 Lxi,2.93 Lakh,Petrol,Kolkata,2019,4
Tata, Safari XZ Plus New,22.49 Lakh,Diesel,Bangalore,2021,2
Maruti Suzuki, Ciaz ZXI+,6.95 Lakh,Petrol,Thane,2016,7
Jeep ,Compass Sport Plus 1.4 Petrol [2019-2020],12 Lakh,Petrol,Kolkata,2019,4
Maruti Suzuki, Eeco 5 STR WITH A/C+HTR [2019-2020],3.72 Lakh,Petrol,Chennai,2017,6
Hyundai ,Creta SX Plus 1.6 AT CRDI,11.5 Lakh,Diesel,Mumbai,2017,6
Maruti Suzuki, Ertiga VXi AT,10.39 Lakh,Petrol,Bangalore,2019,4
Toyota,Etios Liva G,3.75 Lakh,Petrol,Mumbai,2013,10
Renault ,Kwid 1.0 RXT AMT Opt [2016-2019],4.25 Lakh,Petrol,Mumbai,2018,5
Maruti Suzuki ,Ciaz VDi+ SHVS,6.75 Lakh,Diesel,Ahmedabad,2017,6
Maruti Suzuki ,Alto 800 LXi (O),4.49 Lakh,Petrol,Bangalore,2019,4
Chevrolet, Optra Magnum LS 2.0 TCDi,3 Lakh,Diesel + 1,Pallikarnai,2007,16
Maruti Suzuki ,Vitara Brezza VDi,9.5 Lakh,Diesel,Hyderabad,2019,4
Jeep ,Compass Longitude 2.0 Diesel [2017-2020],13.25 Lakh,Diesel,Thane,2018,5
Toyota ,Corolla Altis VL AT Petrol,9.25 Lakh,Petrol,Kolkata,2016,7
Hyundai, Elite i20 Magna Executive 1.2,6.75 Lakh,Petrol,Ahmedabad,2017,6
Mercedes-Benz, EQC 400 4MATIC,95 Lakh,Electric,Pune,2022,1
Ford ,EcoSport Titanium 1.5L Ti-VCT,8.71 Lakh,Petrol,Chennai,2018,5
Hyundai ,i10 Magna 1.2 Kappa2,3.35 Lakh,Petrol,Mumbai,2014,9
Hyundai ,Creta 1.6 SX Plus Petrol Special Edition,9.88 Lakh,Petrol,Pune,2016,7
Porsche ,718 Boxster,1.15 Crore,Petrol,Pune,2020,3
Kia ,Seltos HTE 1.5 Diesel,11 Lakh,Diesel,Thane,2019,4
Maruti Suzuki ,Ciaz Alpha Hybrid 1.5 AT [2018-2020],9.9 Lakh,Petrol,Mumbai,2020,3
Renault ,Kwid 1.0 RXL [2017-2019],3.45 Lakh,Petrol,Gurgaon,2019,4
BMW ,3 Series 320d Luxury Line,37.49 Lakh,Diesel,Kolkata,2019,4
Maruti Suzuki ,Baleno Alpha 1.2,6.39 Lakh,Petrol,Delhi,2017,6
Hyundai ,i20 Sportz 1.2 IVT,8.9 Lakh,Petrol,Ahmedabad,2022,1
Ford ,EcoSport Titanium 1.5L Ti-VCT,6.59 Lakh,Petrol,Kolkata,2018,5
Maruti Suzuki ,Wagon R 1.0 VXI,3.92 Lakh,Petrol,Kolkata,2018,5
Honda, Jazz VX Diesel,8 Lakh,Diesel,Hyderabad,2018,5
Maruti Suzuki ,Swift VDi,7.75 Lakh,Diesel,Hyderabad,2019,4
Tata ,Nexon XZ Plus,11.52 Lakh,Petrol,Delhi,2021,2
Audi ,Q3 35 TDI Premium + Sunroof,16.75 Lakh,Diesel,Mumbai,2014,9
Maruti Suzuki ,Ciaz Alpha Hybrid 1.5 AT [2018-2020],8.5 Lakh,Petrol,Ahmedabad,2019,4
Hyundai ,Santro Sportz CNG [2018-2020],5.93 Lakh,CNG,Delhi,2021,2
Maruti Suzuki ,Alto 800 LXi (O) CNG,4.15 Lakh,CNG,Bangalore,2021,2
MG ,Hector Plus Sharp 1.5 DCT Petrol,18.5 Lakh,Petrol,Ahmedabad,2020,3
Ford, Figo Duratec Petrol ZXI 1.2,2.4 Lakh,Petrol,Thane,2013,10
Audi, Q3 2.0 TDI Base Grade,11.99 Lakh,Diesel,Kolkata,2015,8
Hyundai, Creta SX Plus 1.6  Petrol,8.95 Lakh,Petrol,Thane,2016,7
Honda, Jazz ZX,9.68 Lakh,Petrol,Pune,2021,2
Mercedes-Benz, EQC 400 4MATIC,81 Lakh,Electric,Bangalore,2020,3
Hyundai, Grand i10 Asta 1.2 Kappa VTVT [2013-2016],4.93 Lakh,Petrol,Pune,2015,8
BMW, X1 sDrive20d,10.5 Lakh,Diesel,Kolkata,2013,10
Maruti Suzuki, Swift ZDi Plus,7.85 Lakh,Diesel,Thane,2018,5
BMW ,5 Series 520d Luxury Line [2017-2019],38.99 Lakh,Diesel,Kolkata,2017,6
Skoda, Superb L&K TSI AT,31 Lakh,Petrol,Ahmedabad,2021,2
Maruti Suzuki ,Swift DZire VXI,4.85 Lakh,Petrol,Thane,2014,9
Maruti Suzuki ,Wagon R 1.0 LXI CNG,4.35 Lakh,CNG,Thane,2017,6
Maruti Suzuki ,Wagon R 1.0 LXI CNG,4.51 Lakh,CNG,Pune,2017,6
Tata ,Tiago Revotron XZA,5.45 Lakh,Petrol,Mumbai,2018,5
Tata ,Tiago Revotron XT [2016-2019],4.5 Lakh,Petrol,Thane,2017,6
Maruti Suzuki, Wagon R LXi 1.0 CNG,6.81 Lakh,CNG,Pune,2021,2
Hyundai, Xcent S 1.2,3.95 Lakh,Petrol,Noida,2014,9
Kia, Seltos HTK 1.5 [2020-2021],11.43 Lakh,Petrol,Pune,2019,4
BMW, 5 Series 520d Luxury Line,23 Lakh,Diesel,Ahmedabad,2015,8
Kia, Seltos HTE 1.5,10.5 Lakh,Petrol,Thane,2020,3
Hyundai, Creta 1.6 SX Plus AT Petrol,12.75 Lakh,Petrol,Mumbai,2018,5
Hyundai, Grand i10 Sportz (O) 1.2 Kappa VTVT [2017-2018],5.99 Lakh,Petrol,Bangalore,2017,6
